ID,Paper,Order,Family,Superfam,Genus,genus.and.species,Collected.from,Host.Lat,Host.Long,N..treat.field.,mortality..treat.,N..control.,mortality..c.,or,ln.or,v.ln.or,Treatment,Temp,BdStrain,bd.ID,Lineage,Stated.location,Species.isolated.from,Bd.Lat,Bd.Long,distance,distkm,logdistkm,Bd.dose..spore.,logdose,duration
70a,Searle et al 2011,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_terrestris,"Orange County, Florida",28.487432,-81.118324,25,1,25,0.52,47.13,3.85,2.193301434,Bd only,22.4,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2569540.771,2569.540771,3.410024497,260000,5.414973348,30
332a,Cothran et al 2015,Anura,Hylidae,Hyloidea,Hyla,Hyla_versicolor,"41.5694, -80.4564",41.5694,-80.4564,22,0.181818182,22,0.090909091,1.99,0.798507696,0.855555556,high carotenoid diet,21,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2133317.328,2133.317328,3.32925899,100000,5,14
330a,Cothran et al 2015,Anura,Hylidae,Hyloidea,Hyla,Hyla_versicolor,"41.5694, -80.4564",41.5694,-80.4564,28,0.071428571,27,0.037037037,1.67,0.693147181,1.576923077,Bd+,21,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2133317.328,2133.317328,3.32925899,100000,5,14
331a,Cothran et al 2015,Anura,Hylidae,Hyloidea,Hyla,Hyla_versicolor,"41.5694, -80.4564",41.5694,-80.4564,20,0.1,20,0.05,1.76,0.747214402,1.608187135,low carotenoid diet,21,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2133317.328,2133.317328,3.32925899,100000,5,14
457a,Gervasi et al 2013 Plos,Anura,Hylidae,Hyloidea,Pseudacris,Pseudacris_regilla,"Linn County, OR",44.441974,-122.302159,23,0.77,30,0.13,18.25,3.06446026,0.532143654,intermediate,15,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1473164.774,1473.164774,3.168546029,50000,4.698970004,14
454a,Gervasi et al 2013 Plos,Anura,Hylidae,Hyloidea,Pseudacris,Pseudacris_regilla,"Linn County, OR",44.441974,-122.302159,30,0.13,30,0.13,1,0.00259918,0.577595893,low,15,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1473164.774,1473.164774,3.168546029,10000,4,14
458a,Gervasi et al 2013 Plos,Anura,Hylidae,Hyloidea,Pseudacris,Pseudacris_regilla,"Linn County, OR",44.441974,-122.302159,26,0.87,30,0.13,34.29,3.746780518,0.621983981,high,15,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1473164.774,1473.164774,3.168546029,100000,5,14
462a,Gervasi et al 2014,Anura,Hylidae,Hyloidea,Pseudacris,Pseudacris_regilla,"Oregon Cascade Range west of Bend, Linn County, OR",44.32175,-122.258318,7,0.16,7,0,3.81,1.34,2.907357096,P. regilla,15,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1466336.409,1466.336409,3.166529694,50000,4.698970004,15
326a,Searle et al 2011,Anura,Hylidae,Hyloidea,Pseudacris,Pseudacris_triseriata,"Edwin S. George Reserve, Michigan",42.451844,-84.00933,25,0.88,25,0.12,41.41,3.987247776,0.758263479,Bd only,22.4,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1838534.716,1838.534716,3.264707988,260000,5.414973348,30
169a,Searle et al 2011,Anura,Hylidae,Hyloidea,Pseudacris,Pseudacris_feriarum,"Seven Island Wildlife Refuge, Tennessee",35.947839,-83.69063,25,1,25,0.56,40.21,3.69,2.195245316,Bd only,22.4,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1971515.02,1971.51502,3.295020319,260000,5.414973348,30
284a,Searle et al 2011,Anura,Hylidae,Hyloidea,Hyla,Hyla_versicolor," Pymatuning Laboratory of Ecology farm site, Pennsylvania",40.07389,-80.42639,25,1,25,0.88,8.02,2.08,2.366696776,Bd only,22.4,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2150073.106,2150.073106,3.33265517,260000,5.414973348,30
333a,Cothran et al 2015,Anura,Ranidae,Ranoidea,Lithobates,Rana_sylvatica,"41.8414, -80.24",41.8414,-80.24,21,0.761904762,20,0.25,8.45,2.261763098,0.529166667,Bd+,21,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2150021.955,2150.021955,3.332644843,100000,5,14
334a,Cothran et al 2015,Anura,Ranidae,Ranoidea,Lithobates,Rana_sylvatica,"41.8414, -80.24",41.8414,-80.24,20,0.7,20,0.2,8.18,2.233592222,0.550595238,low carotenoid diet,21,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2150021.955,2150.021955,3.332644843,100000,5,14
335a,Cothran et al 2015,Anura,Ranidae,Ranoidea,Lithobates,Rana_sylvatica,"41.8414, -80.24",41.8414,-80.24,15,0.8,14,0.428571429,4.67,1.673976434,0.708333333,high carotenoid diet,21,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2150021.955,2150.021955,3.332644843,100000,5,14
323a,Gervasi et al 2013 EcoH,Anura,Ranidae,Ranoidea,Lithobates,Rana_catesbeiana,Fish hatchery pond (41.64ç N 80.43ç W) and Geneva pond (41.59ç N 80.25ç W),41.64,-80.43,17,0.76,16,0.12,17.8,3.15248308,0.910939623,JEL 274,23,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2135148.848,2135.148848,3.329631511,2550000,6.40654018,30
456a,Gervasi et al 2013 Plos,Anura,Ranidae,Ranoidea,Rana,Rana_cascadae,"Linn County, OR",44.441974,-122.302159,30,0.3,30,0.03,8.75,2.530393074,1.203302041,high,15,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1473164.774,1473.164774,3.168546029,100000,5,14
455a,Gervasi et al 2013 Plos,Anura,Ranidae,Ranoidea,Rana,Rana_cascadae,"Linn County, OR",44.441974,-122.302159,30,0.2,30,0.03,5.25,1.991396573,1.252905216,intermediate,15,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1473164.774,1473.164774,3.168546029,50000,4.698970004,14
453a,Gervasi et al 2013 Plos,Anura,Ranidae,Ranoidea,Rana,Rana_cascadae,"Linn County, OR",44.441974,-122.302159,30,0.03,30,0.03,1.01,0.009360122,2.080054453,low,15,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1473164.774,1473.164774,3.168546029,10000,4,14
461a,Gervasi et al 2014,Anura,Ranidae,Ranoidea,Rana,Rana_cascadae,"Oregon Cascade Range west of Bend, Linn County, OR",44.32175,-122.258318,7,0,7,0,1,0,4.266666667,R. cascadae,15,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1466336.409,1466.336409,3.166529694,50000,4.698970004,15
205a,Searle et al 2011,Anura,Ranidae,Ranoidea,Lithobates,Rana_pipiens,"Mallard Pond,  Pennsylvania",40.018312,-76.289102,25,1,25,0.72,20.75,3.03,2.226322829,Bd only,22.4,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2500627.394,2500.627394,3.398222624,260000,5.414973348,30
329a,Searle et al 2011,Anura,Ranidae,Ranoidea,Lithobates,Rana_sylvatica,"Edwin S. George Reserve, Michigan",42.451844,-84.00933,22,1,25,0.27,116.95,4.76,2.23612037,Bd only,22.4,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1838534.716,1838.534716,3.264707988,260000,5.414973348,30
431a,Searle et al 2014,Anura,Ranidae,Ranoidea,Rana,Rana_cascadae,Parrish Pond in Linn County ,44.532318,-122.076711,30,0,10,0,0.34,-1.07,4.12802498,Bd only,14.25,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1458579.233,1458.579233,3.164227676,85000,4.929418926,14
162a,Padgett-Flohr and Hayes 2011,Anura,Ranidae,Ranoidea,Rana,Rana_pretiosa," Joseph D. Grant County Park, Santa Clara, California",37.336819,-121.717272,9,0,10,0,1.11,0.1,4.200501253,strain #2,19,FMB 001,16a,,"Shelby County, TN, USA","anuran, unspecified",35.13792,-89.72771,2872243.21,2872.24321,3.458372389,1000000,6,56
